,SGroup,Signal,coverage_naive,coverage_split,coverage_posi,length_naive,length_split,length_posi
61,3,0.5,1.0,1.0,1.0,3.8129294821077346,5.210963785117338,3.9404835647251497
62,3,0.5,,,,,,
63,3,0.5,,,,,,
64,3,0.5,0.75,,0.75,3.750970507440826,,4.254406364021008
65,3,0.5,,,,,,
66,3,0.5,1.0,1.0,1.0,3.71374386599203,4.791603712848699,4.1006610440533695
67,3,0.5,0.5,,0.75,3.53623214998894,,4.216818135177272
68,3,0.5,,,,,,
69,3,0.5,,,,,,
70,3,0.5,,,,,,
71,3,0.5,,,,,,
72,3,0.5,1.0,,1.0,3.7440470022031187,,4.107099869383221
73,3,0.5,0.5,,0.5,3.729187186954186,,4.232548922562108
74,3,0.5,,,,,,
75,3,0.5,1.0,0.75,1.0,3.725745073158996,5.374316520111011,4.338485056394909
76,3,0.5,1.0,1.0,1.0,3.8732441038493466,5.493808392694319,3.9953111248427238
77,3,0.5,1.0,1.0,1.0,3.632460206222754,4.98950640805832,4.056925353057489
78,3,0.5,,,,,,
79,3,0.5,1.0,1.0,0.875,3.705502711693425,5.513782623190983,3.9998383640454227
80,3,0.5,,,,,,
81,3,0.5,1.0,0.875,1.0,3.55864105261517,5.356322107072297,3.952535281256629
82,3,0.5,1.0,,1.0,3.642990538912727,,4.061662822310737
83,3,0.5,,1.0,,,5.586723025202467,
84,3,0.5,1.0,0.75,1.0,3.6527750692589325,5.174019560965251,4.337143987970625
85,3,0.5,,1.0,,,4.793163877029798,
86,3,0.5,,,,,,
87,3,0.5,,,,,,
88,3,0.5,0.75,,0.75,3.5920553576140435,,3.901235460476748
89,3,0.5,0.75,1.0,1.0,3.8268452551444794,5.362564054112769,3.990841114543432
90,3,0.5,1.0,,1.0,3.9337344775234095,,4.676467396823625
91,3,0.5,,,,,,
92,3,0.5,0.75,,1.0,3.6851983772764036,,3.9912469035182077
93,3,0.5,1.0,0.875,1.0,3.473661422854443,5.103546520575433,3.641733368232886
94,3,0.5,,,,,,
95,3,0.5,0.75,1.0,1.0,3.4731729114447463,4.8895268972930435,3.835305281265554
96,3,0.5,,1.0,,,5.032885089832177,
97,3,0.5,,,,,,
98,3,0.5,1.0,,,3.592223411081439,,
99,3,0.5,,,1.0,,,4.3997815380784475
100,3,0.6111111111111112,,,0.75,,,4.542031127376161
