,Signal_Fac,coverage_naive,coverage_split50,coverage_split67,coverage_split33,coverage_posi50,coverage_posi67,coverage_posi33,length_naive,length_split50,length_split67,length_split33,length_posi50,length_posi67,length_posi33,nnz_naive,nnz_split50,nnz_split67,nnz_split33,nnz_posi50,nnz_posi67,nnz_posi33,tp_naive,tp_split50,tp_split67,tp_split33,tp_posi50,tp_posi67,tp_posi33,tn_naive,tn_split50,tn_split67,tn_split33,tn_posi50,tn_posi67,tn_posi33,fp_naive,fp_split50,fp_split67,fp_split33,fp_posi50,fp_posi67,fp_posi33,fn_naive,fn_split50,fn_split67,fn_split33,fn_posi50,fn_posi67,fn_posi33,posttp_naive,posttp_split50,posttp_split67,posttp_split33,posttp_posi50,posttp_posi67,posttp_posi33,posttn_naive,posttn_split50,posttn_split67,posttn_split33,posttn_posi50,posttn_posi67,posttn_posi33,postfp_naive,postfp_split50,postfp_split67,postfp_split33,postfp_posi50,postfp_posi67,postfp_posi33,postfn_naive,postfn_split50,postfn_split67,postfn_split33,postfn_posi50,postfn_posi67,postfn_posi33,msetarget_naive,msetarget_split50,msetarget_split67,msetarget_split33,msetarget_posi50,msetarget_posi67,msetarget_posi33,msetruth_naive,msetruth_split50,msetruth_split67,msetruth_split33,msetruth_posi50,msetruth_posi67,msetruth_posi33,runtime_naive,runtime_split50,runtime_split67,runtime_split33,runtime_posi50,runtime_posi67,runtime_posi33,postcoverage_naive,postcoverage_split50,postcoverage_split67,postcoverage_split33,postcoverage_posi50,postcoverage_posi67,postcoverage_posi33,cseed
10,0.2,0.875,0.8780487804878049,0.8518518518518519,0.9210526315789473,0.9318181818181818,0.8709677419354839,0.8222222222222222,10.243687739411156,15.383161856799036,19.057528543969674,12.996852673820564,15.001385674285292,18.373428615033625,12.68191407175629,8,41,27,38,44,31,45,4,10,4,4,8,4,7,89,62,70,59,57,66,55,4,31,23,34,36,27,38,6,0,6,6,2,6,3,2,3,2,1,2,1,3,93,88,89,88,92,90,87,0,5,4,5,1,3,6,8,7,8,9,8,9,7,11.251503464027433,22.188191051627555,50.75094552089913,15.864803315518545,19.933233188594325,33.857448244938816,14.059873710774665,1.8621101171615608,8.832192554531353,15.00331302809576,6.796068206906186,9.073439447219677,10.636994008589452,6.392355816661595,0.428511189064011,6.00920551805757,5.991254036081955,9.355401678942144,14802.270241552964,8006.367700618925,17550.32483785809,0.06796116504854369,0.34951456310679613,0.22330097087378642,0.32038834951456313,0.4077669902912621,0.2621359223300971,0.3592233009708738,1996
11,0.2,0.9285714285714286,0.9534883720930233,0.9130434782608695,0.8888888888888888,0.8974358974358975,0.9,0.925,10.329880955365889,15.628959313379697,18.683420817168507,12.900147304821955,15.322760901264479,19.009751583466972,12.769131186919832,14,43,23,27,39,20,40,10,10,8,8,8,8,8,89,60,78,74,62,81,61,4,33,15,19,31,12,32,0,0,2,2,2,2,2,8,2,2,3,6,1,6,92,91,92,93,91,91,90,1,2,1,0,2,2,3,2,8,8,7,4,9,4,11.089168142822139,16.571587020419475,21.652224772976883,14.927472384549151,23.28750941613367,28.419332531574305,12.309240249335565,1.5072655728107722,6.918235358039196,4.812346566763177,4.667701754698544,9.36930668722275,6.053926120599764,5.410645984667005,0.06625942187383771,0.055146279046311975,0.04847806296311319,0.04888334195129573,4255.632889998844,1664.5892069339752,7321.241164763924,0.1262135922330097,0.39805825242718446,0.21359223300970873,0.23300970873786409,0.33980582524271846,0.1650485436893204,0.3592233009708738,1997
12,0.2,1.0,0.9387755102040817,0.875,0.9534883720930233,0.9736842105263158,0.8076923076923077,0.9032258064516129,10.211368254127803,15.9405749585558,18.43908587887969,13.11606977111379,14.63952340951864,18.869771744286126,12.726838327778461,10,49,16,43,38,26,62,10,8,4,10,8,10,10,93,52,81,60,63,77,41,0,41,12,33,30,16,52,0,2,6,0,2,0,0,6,1,1,3,3,1,5,93,90,93,91,92,90,87,0,3,0,2,1,3,6,4,9,9,7,7,9,5,7.996439308073261,18.392599433491892,36.612867892519645,13.050823339070424,13.381078523925195,39.52603629350698,15.6516892532055,0.7763533308808989,9.482679154649585,6.736805273731895,5.448401976505131,5.308574584761424,9.977446054671661,9.421405181541173,0.9413102259859443,11.226895340019837,3.638259391998872,10.502034628996626,10695.735854937928,5620.303823173046,33395.004563650116,0.0970873786407767,0.4368932038834951,0.14563106796116504,0.39805825242718446,0.3592233009708738,0.20388349514563106,0.5436893203883495,1998
13,0.2,0.782608695652174,0.875,0.9629629629629629,0.8409090909090909,0.8085106382978723,0.8709677419354839,0.8307692307692308,10.359534961172786,15.730394390191199,19.140291085280065,13.26709253201468,14.603187900821576,18.90926853924598,12.486515993184536,23,48,27,44,47,31,65,8,8,8,1,8,5,5,78,53,74,50,54,67,33,15,40,19,43,39,26,60,2,2,2,9,2,5,5,4,1,1,1,2,1,2,88,89,92,87,86,90,80,5,4,1,6,7,3,13,6,9,9,9,8,9,8,17.227280592308574,24.724140681222686,19.266582325814102,21.84668665262333,29.161480323418385,34.990174625604745,21.2247887508208,4.137387458261453,11.596579733528676,5.7432556266295824,10.925993564750838,13.081408754555286,10.948984195332661,14.384480747327382,0.11573386285454035,0.47466064197942615,0.5292818660382181,0.7517827439587563,8486.93058574805,3945.094310746994,9492.694469564827,0.1650485436893204,0.4077669902912621,0.2524271844660194,0.3592233009708738,0.3786407766990291,0.2621359223300971,0.5048543689320388,1999
14,0.2,0.625,0.7631578947368421,0.7857142857142857,0.8571428571428571,0.8157894736842105,0.8421052631578947,0.8552631578947368,10.184140868773081,15.338703483811173,19.179921872648187,13.537673563218288,14.73287563126744,18.619146358161274,12.573292259318892,8,38,28,56,38,19,76,0,0,4,1,4,4,8,85,55,69,38,59,78,25,8,38,24,55,34,15,68,10,10,6,9,6,6,2,0,0,0,0,1,2,2,90,82,88,87,88,91,82,3,11,5,6,5,2,11,10,10,10,10,9,8,8,22.112209404955212,35.30318013326879,38.23745260427415,19.53392943599173,24.32297688920759,40.86404725632462,17.52691614439827,3.2170089045490093,14.854326330378605,12.433475141579251,12.200420140462706,9.791149650737813,8.555475140177434,13.118779972389426,0.06564477505162358,0.4149104089010507,0.8011090450454503,1.5189021290279925,4442.783251143992,2400.1157926439773,9831.602508769836,0.04854368932038835,0.2621359223300971,0.22330097087378642,0.47572815533980584,0.32038834951456313,0.1553398058252427,0.6310679611650486,2000
15,0.2,0.8181818181818182,0.92,0.9130434782608695,0.8536585365853658,0.9361702127659575,0.8148148148148148,0.8333333333333334,10.183709810608725,15.103901227170175,18.758447236954595,13.227094651248388,15.724024478701555,19.187363168048027,13.08807670226135,11,25,23,41,47,27,66,7,4,7,1,7,4,5,89,72,77,53,53,70,32,4,21,16,40,40,23,61,3,6,3,9,3,6,5,2,2,1,0,0,0,3,91,91,91,89,91,89,80,2,2,2,4,2,4,13,8,8,9,10,10,10,7,16.64427272753235,15.287342932659987,36.251900140219334,19.074760070058105,21.665850887916214,48.260089591004665,20.438503416282792,2.2430636557068158,5.2021566705636895,8.246184904596813,8.990821545642904,10.055549929390732,13.563725331375343,14.219323439583556,0.07899466692470014,0.14835230098105967,0.1389458270277828,0.1359488400630653,8325.840507067041,2471.67888287385,13325.478911962826,0.08737864077669903,0.22330097087378642,0.20388349514563106,0.3592233009708738,0.4368932038834951,0.21359223300970873,0.5048543689320388,2001
16,0.2,0.6666666666666666,0.8461538461538461,1.0,0.88,0.8378378378378378,0.8709677419354839,0.8382352941176471,10.291637900433859,15.573819025083653,19.033881815964413,13.479118707443199,15.167584583929873,19.285496105617657,12.714605032325919,15,39,30,50,37,31,68,7,8,7,10,7,7,7,85,62,70,53,63,69,32,8,31,23,40,30,24,61,3,2,3,0,3,3,3,4,1,1,2,3,1,2,90,89,93,89,87,91,81,3,4,0,4,6,2,12,6,9,9,8,7,9,8,20.180190837212987,24.844296119585167,23.207572436080305,17.841543669636007,28.522776315078627,45.07987635873705,15.621219692127697,3.617233525682378,10.050121688742468,7.739232195935918,8.660943528949515,10.897289643038988,14.220286496655033,11.139322869847332,0.05668808100745082,0.04715910507366061,0.045256312005221844,0.05282465205527842,17298.650397737045,12707.433391288156,44296.48673448805,0.08737864077669903,0.3106796116504854,0.2912621359223301,0.42718446601941745,0.30097087378640774,0.27184466019417475,0.5436893203883495,2002
17,0.2,0.9090909090909091,0.8181818181818182,0.8636363636363636,0.9024390243902439,0.9361702127659575,0.9615384615384616,0.9104477611940298,10.229783531304117,15.307915019973967,18.703307942888873,13.233631946717132,15.072741958213776,19.50577483528721,12.800644308384378,11,33,22,41,47,26,67,7,5,7,7,10,4,7,89,65,78,59,56,71,33,4,28,15,34,37,22,60,3,5,3,3,0,6,3,3,1,3,1,3,1,2,92,87,91,90,90,92,87,1,6,2,3,3,1,6,7,9,7,9,7,9,8,12.460423282800821,22.907620463089458,31.52267293856464,15.624898286655577,12.47534703591298,30.268577606293622,12.013910368754948,1.8151169943779346,8.280919735525234,7.039861573823618,6.770968210631964,5.692634084348638,8.8444684596218,8.271517846070386,0.28278342983685434,0.8916480510961264,1.5208362829871476,9.006268725031987,17410.47669117991,6200.87654926395,30349.459646822885,0.0970873786407767,0.2621359223300971,0.18446601941747573,0.36893203883495146,0.42718446601941745,0.24271844660194175,0.5922330097087378,2003
18,0.2,0.7857142857142857,0.9210526315789473,0.8928571428571429,0.8983050847457628,0.8245614035087719,0.8076923076923077,0.8805970149253731,10.424183156765439,15.398844330629643,18.89005117948611,13.635727900146025,14.70577254694336,18.674146957284485,12.709791904071562,28,38,28,59,57,52,67,8,4,8,10,10,10,10,73,59,73,44,46,51,36,20,34,20,49,47,42,57,2,6,2,0,0,0,0,4,0,1,3,0,1,1,87,90,89,87,83,84,86,6,3,4,6,10,9,7,6,10,9,7,10,9,9,16.06851560356482,17.16943668517837,31.088626895917958,20.671088625234937,24.785541567322625,33.91674320618424,16.32302373305676,4.683168918536709,7.2768962138093976,8.81138753248091,11.840720668823892,13.716270576091164,17.123015987588165,10.61788922441556,0.9142791060730815,3.1314580880571157,3.82505143689923,13.263934675138444,26901.14461027598,19830.071440022206,13543.933676593937,0.21359223300970873,0.33980582524271846,0.23300970873786409,0.5145631067961165,0.4563106796116505,0.4077669902912621,0.5728155339805825,2004
19,0.2,0.75,0.9428571428571428,1.0,0.8867924528301887,0.9,1.0,0.8780487804878049,10.246654172735536,15.310242004984584,18.66590614910633,13.466735351626525,15.4369608639001,19.06839622470525,12.303370836991093,16,35,20,53,60,28,82,8,8,8,10,8,8,10,85,66,81,50,41,73,21,8,27,12,43,52,20,72,2,2,2,0,2,2,0,2,1,1,3,1,1,5,90,91,93,88,86,93,85,3,2,0,5,7,0,8,8,9,9,7,9,9,5,16.32209649085766,18.739333988747227,24.811342745260337,16.642642043595185,24.398421349835612,15.736409609987833,13.859364715444123,2.7707086283860605,6.814540543440613,5.185887588505544,8.563689595248006,14.673712398490748,4.573282690542375,11.033668996761337,0.13537213997915387,0.42400517920032144,0.4663001149892807,8.462265179958194,26915.403514374048,7096.843889174052,29643.214594156016,0.11650485436893204,0.32038834951456313,0.1941747572815534,0.4563106796116505,0.5145631067961165,0.27184466019417475,0.6990291262135923,2005
