,Signal_Upper,coverage_naive,coverage_split50,coverage_split67,coverage_split33,coverage_posi50,coverage_posi67,coverage_posi33,length_naive,length_split50,length_split67,length_split33,length_posi50,length_posi67,length_posi33,nnz_naive,nnz_split50,nnz_split67,nnz_split33,nnz_posi50,nnz_posi67,nnz_posi33,tp_naive,tp_split50,tp_split67,tp_split33,tp_posi50,tp_posi67,tp_posi33,tn_naive,tn_split50,tn_split67,tn_split33,tn_posi50,tn_posi67,tn_posi33,fp_naive,fp_split50,fp_split67,fp_split33,fp_posi50,fp_posi67,fp_posi33,fn_naive,fn_split50,fn_split67,fn_split33,fn_posi50,fn_posi67,fn_posi33,posttp_naive,posttp_split50,posttp_split67,posttp_split33,posttp_posi50,posttp_posi67,posttp_posi33,posttn_naive,posttn_split50,posttn_split67,posttn_split33,posttn_posi50,posttn_posi67,posttn_posi33,postfp_naive,postfp_split50,postfp_split67,postfp_split33,postfp_posi50,postfp_posi67,postfp_posi33,postfn_naive,postfn_split50,postfn_split67,postfn_split33,postfn_posi50,postfn_posi67,postfn_posi33,msetarget_naive,msetarget_split50,msetarget_split67,msetarget_split33,msetarget_posi50,msetarget_posi67,msetarget_posi33,msetruth_naive,msetruth_split50,msetruth_split67,msetruth_split33,msetruth_posi50,msetruth_posi67,msetruth_posi33,runtime_naive,runtime_split50,runtime_split67,runtime_split33,runtime_posi50,runtime_posi67,runtime_posi33,postcoverage_naive,postcoverage_split50,postcoverage_split67,postcoverage_split33,postcoverage_posi50,postcoverage_posi67,postcoverage_posi33,cseed
10,0.2,0.7857142857142857,0.9333333333333333,1.0,0.9122807017543859,0.7592592592592593,0.82,0.8452380952380952,10.261281061585908,15.590916549480497,18.818514746054188,13.68566354334373,13.580063436951198,16.430846054759492,12.488881537015361,14,45,26,57,54,50,84,9,4,7,12,9,9,9,83,47,69,43,43,47,13,5,41,19,45,45,41,75,3,8,5,0,3,3,3,4,1,0,2,2,4,3,87,86,88,83,77,82,77,1,2,0,5,11,6,11,8,11,12,10,10,8,9,21.573220861218346,18.86821473209335,19.937678470023656,18.798688945238947,31.654944312838705,36.71841164855878,17.083493183700117,3.0546313362123296,9.47409312581449,5.777823252224056,10.7152526987862,17.1779726743681,18.43718466676414,14.417346708168717,0.25837833993136883,1.699882882880047,2.056683920091018,8.8140904949978,23025.46715195407,23243.502465716098,32804.46705793496,0.11,0.42,0.26,0.52,0.41,0.41,0.71,1996
11,0.2,0.8,0.8333333333333334,0.9655172413793104,0.9142857142857143,0.92,0.9090909090909091,0.8166666666666667,10.105310888121432,14.704556206102987,19.15648614619502,13.81560491596342,13.839445372385933,17.25514324428613,12.13930995377824,5,18,29,70,50,22,60,5,9,9,8,12,8,5,88,79,68,26,50,74,33,0,9,20,62,38,14,55,7,3,3,4,0,4,7,2,2,2,1,3,1,1,88,86,88,82,86,87,78,0,2,0,6,2,1,10,10,10,10,11,9,11,11,14.569658725958504,25.16782651691359,25.95556156268516,16.56770354108289,19.277203005158388,18.24516041412924,16.268850224059904,0.881431578693196,4.537180082849307,7.607078227829058,11.717332701315184,9.638601502579196,4.036189275930175,9.858786558779153,0.1409321401733905,0.2970072210300714,0.6647456069476902,2.831089826999232,4955.922671456123,3859.212336812867,6746.550662311958,0.04,0.15,0.28,0.63,0.46,0.21,0.49,1997
12,0.2,0.8636363636363636,0.967741935483871,0.875,0.8985507246376812,0.8301886792452831,0.9,0.8695652173913043,10.428317019939767,16.28756886856472,18.693189589169524,13.841954066002847,14.217858417603482,17.013750547957944,12.219952804543935,22,62,24,69,53,20,69,8,12,0,9,12,8,3,74,38,64,28,47,76,22,14,50,24,60,41,12,66,4,0,12,3,0,4,9,3,1,0,1,2,0,1,86,87,85,83,81,86,80,2,1,3,5,7,2,8,9,11,12,11,10,12,11,14.797902338992174,15.71230787949036,35.91238688000618,16.09819125945189,22.339202489965114,17.606635116776015,16.834345513687676,3.434664796922787,9.741630885284025,9.376608628409695,11.082376306487777,11.839777319681511,3.7415343136498076,13.062373598722663,0.37916066590696573,2.027144571999088,0.9397721770219505,2.9616423309780657,4357.019558202941,2055.4385901871137,7652.505100228125,0.19,0.6,0.21,0.63,0.44,0.18,0.6,1998
13,0.2,0.8333333333333334,0.8620689655172413,0.9142857142857143,0.8571428571428571,0.8909090909090909,0.8181818181818182,0.8048780487804879,10.372498808522998,15.266705997424857,19.729109114344933,13.061478850785104,13.989288590520145,17.490259545895714,12.587719324460316,18,29,35,35,55,33,82,0,4,3,0,3,0,3,70,63,56,53,36,55,9,18,25,32,35,52,33,79,12,8,9,12,9,12,9,0,0,0,0,1,0,0,84,84,86,84,82,83,72,4,4,2,4,6,5,16,12,12,12,12,11,12,12,17.784316185609185,33.28666722219916,28.912076602006394,22.32631963923257,18.547784530576344,30.7157400332318,16.90856160119991,4.012384881287534,9.98508160181522,10.891699597993227,8.530581679584293,11.266747897995971,11.048592647585984,14.893795259585325,0.04791433713398874,0.036518500884994864,0.03459946601651609,0.03346921410411596,25230.166244115913,11632.342232367024,35694.665334716905,0.14,0.24,0.33,0.31,0.48,0.28,0.66,1999
14,0.2,0.6923076923076923,0.9565217391304348,0.918918918918919,0.8636363636363636,0.8928571428571429,0.9642857142857143,0.8955223880597015,10.348965157750028,16.83970964352958,19.63941715168673,13.694242708543012,14.31552383623566,16.707623308143422,12.026833242992856,13,69,37,66,56,28,67,5,9,5,8,5,5,5,80,28,56,30,37,65,26,8,60,32,58,51,23,62,7,3,7,4,7,7,7,2,2,2,1,1,1,3,85,85,86,80,82,87,82,3,3,2,8,6,1,6,10,10,10,11,11,11,9,19.090974809462846,19.540672829196467,34.09017895325586,19.264412693688403,16.043728815182394,19.333403431283767,13.579302192185347,2.657278932066398,13.418491511398447,12.653122650376243,12.888342660231075,9.12045207927517,5.662720215768802,9.252717127261283,0.13111534505151212,7.53384765307419,5.084770302055404,12.117566250031814,25803.496401441982,8563.542565444019,32510.411330636125,0.09,0.66,0.34,0.58,0.5,0.27,0.6,2000
15,0.2,0.75,0.8490566037735849,0.8275862068965517,0.8805970149253731,0.8703703703703703,0.9024390243902439,0.7910447761194029,10.350277038787048,15.974249930676653,18.953533987858115,13.842071628133166,13.938299224151656,17.33772577249098,12.297624940365555,16,53,29,67,54,41,67,5,9,5,8,8,5,7,77,44,64,29,42,52,28,11,44,24,59,46,36,60,7,3,7,4,4,7,5,1,1,0,2,1,1,0,84,81,84,77,81,84,75,4,7,4,11,7,4,13,11,11,12,10,11,11,12,19.432188704065613,29.707583568405866,42.73135155443599,20.74592507109524,22.52338936683017,25.50738428076046,21.169146764358683,3.3028263965923546,15.85769365491021,13.294570065605301,14.411728528421046,12.509227307625036,10.570978644058448,14.908801781172482,0.6026616808958352,2.6022758001927286,1.8215950289741158,3.6784281579311937,7233.106557127088,5023.437361666001,7467.744010232855,0.12,0.46,0.25,0.56,0.47,0.37,0.54,2001
16,0.2,0.8888888888888888,0.8780487804878049,0.8421052631578947,0.9230769230769231,0.8979591836734694,0.75,0.8714285714285714,10.318183918551533,15.667393492642132,18.466347920110373,13.909390507330416,14.061942067921429,17.956508644673765,12.028835661761299,18,41,19,65,49,24,70,5,9,9,5,9,4,12,75,56,78,28,48,68,30,13,32,10,60,40,20,58,7,3,3,7,3,8,0,2,1,1,1,2,1,3,86,85,87,83,84,83,81,2,3,1,5,4,5,7,10,11,11,11,10,11,9,14.184669810721436,25.07745172493779,49.06216907439924,15.507983021541826,22.344094859283064,49.20665797515147,17.818007955834357,2.617987838982416,10.351719586130939,9.293161248073607,10.445647850948962,11.012110291376182,12.982545626476117,12.472605569084049,0.18066377798095345,2.6441362909972668,1.5217882110737264,13.835218152031302,19374.948915834073,6802.718697567936,37960.832204854116,0.16,0.36,0.16,0.59,0.43,0.18,0.61,2002
17,0.2,0.4,0.9565217391304348,0.8421052631578947,0.8125,0.7647058823529411,1.0,0.8490566037735849,10.242894433347477,14.856326235731887,18.275375418885837,13.342774239983939,14.205633909939364,17.659730844961487,12.201653946588824,5,23,19,48,34,19,53,0,4,0,5,0,0,3,83,69,69,45,54,69,38,5,19,19,43,34,19,50,12,8,12,7,12,12,9,0,0,0,1,0,0,0,85,87,85,81,81,88,80,3,1,3,7,7,0,8,12,12,12,11,12,12,12,21.60178549453306,18.31519690409586,27.12466951697209,20.994877027025574,30.957132695102953,16.441419241211946,14.47353149567045,1.9408494994878447,4.797602253455071,5.9919402171422735,10.267429010767115,11.430786667252033,4.111849789762397,8.626313914649261,0.07135854894295335,0.21588593698106706,0.3030179950874299,4.044717754004523,19775.90586489206,7197.752812117105,18251.376302958,0.02,0.22,0.16,0.4,0.27,0.19,0.45,2003
18,0.2,,0.9285714285714286,0.8421052631578947,0.8507462686567164,0.9743589743589743,1.0,0.9038461538461539,,15.743282341031401,18.551455813955513,13.946790768598222,14.460531992141524,18.40852025342028,12.506330959180808,0,42,19,67,39,15,52,0,5,0,4,5,0,3,88,51,69,25,54,73,39,0,37,19,63,34,15,49,12,7,12,8,7,12,9,0,0,0,1,0,0,0,88,85,85,78,87,88,83,0,3,3,10,1,0,5,12,12,12,11,12,12,12,,21.370541142703527,28.138299385407027,23.560164014687484,14.200294559912217,14.061062867320713,12.150696181640662,0.7483401552230651,8.994593901031717,5.847071984189065,16.508746405751246,5.577821039240116,2.7436602818554103,6.689594283299298,0.06120132911019027,0.1438369050156325,0.07130332896485925,1.2006908687762916,6242.169812975917,1754.7240909889806,4881.146903988905,0.88,0.39,0.16,0.57,0.38,0.15,0.47,2004
19,0.2,0.9230769230769231,0.8863636363636364,0.88,0.9215686274509803,0.8958333333333334,0.8823529411764706,0.8947368421052632,10.27095610768254,15.633155259102772,18.601372038399063,13.427483779810752,14.401265046351297,17.816042354965454,12.403038257795341,13,44,25,51,48,17,76,5,5,8,0,5,5,8,80,49,71,37,45,76,20,8,39,17,51,43,12,68,7,7,4,12,7,7,4,1,2,2,0,0,1,1,87,84,86,85,84,88,81,1,4,2,3,4,0,7,11,10,10,12,12,11,11,8.52601317861066,20.619491956545822,32.021998952286594,15.469819351050257,19.01792136407217,22.21773365666261,14.935569792481896,1.272050039691008,8.95888147834744,8.601582353934422,9.00348146425349,9.130647646824428,4.005224316440343,11.331770201585858,0.1172638600692153,1.929099661996588,0.7219000949990004,5.580527824116871,19113.92981317104,2281.0750856539235,42043.319186506094,0.12,0.4,0.22,0.48,0.44,0.15,0.69,2005
